Puzzle: 30 
Amount: 30
Result details: ./Result/30None_preprocessed_fitness.csv
Maximum Fitness: 404549.0

-----Parameters-----
Objective Function Weight = [0.5, 0.5, 0, 0, 0]
C = 2
beta = 6
N = 50
D = 900
lb = 0
ub = 1
t_max = 1000
count = 33
k = 2
reward = [-1, 1]
alpha = 0.1
gamma = 0.6
eps = 0.6
chi = 0.2

-----Results-----
Fitness:
	Minimal = 65.0
	Maximal = 92.0
	Average = 78.06666666666666
	Standard Deviation = 7.654773383683906
Average Performance = 42.794384942990305%
Runtime:
	Average = 411.4490369955699
	Total = 12343.471109867096
Optimal = 0/30 (0.0%)
Optimal by Preprocessing = 0/30 (0.0%)
Average Preprocessing = 33.92222222222222%

-----Details-----
1.   ID = 2024-02-04, Fitness = 73.0000   (Iteration: 1000), Runtime = 403.7398, Preprocessed = 295/900 ( 32.78%), Preprocessed Fitness = 139.0000  , Performance =  47.48%
2.   ID = 2024-02-05, Fitness = 75.0000   (Iteration: 1000), Runtime = 409.9685, Preprocessed = 331/900 ( 36.78%), Preprocessed Fitness = 133.0000  , Performance =  43.61%
3.   ID = 2024-02-06, Fitness = 92.0000   (Iteration: 1000), Runtime = 425.3927, Preprocessed = 234/900 ( 26.00%), Preprocessed Fitness = 148.0000  , Performance =  37.84%
4.   ID = 2024-02-07, Fitness = 84.0000   (Iteration: 1000), Runtime = 436.0285, Preprocessed = 276/900 ( 30.67%), Preprocessed Fitness = 146.0000  , Performance =  42.47%
5.   ID = 2024-02-08, Fitness = 85.0000   (Iteration: 1000), Runtime = 430.2772, Preprocessed = 219/900 ( 24.33%), Preprocessed Fitness = 149.0000  , Performance =  42.95%
6.   ID = 2024-02-09, Fitness = 80.0000   (Iteration: 1000), Runtime = 412.0606, Preprocessed = 301/900 ( 33.44%), Preprocessed Fitness = 139.0000  , Performance =  42.45%
7.   ID = 2024-02-10, Fitness = 70.0000   (Iteration: 1000), Runtime = 402.9207, Preprocessed = 346/900 ( 38.44%), Preprocessed Fitness = 124.0000  , Performance =  43.55%
8.   ID = 2024-02-11, Fitness = 75.0000   (Iteration: 1000), Runtime = 409.9938, Preprocessed = 296/900 ( 32.89%), Preprocessed Fitness = 139.0000  , Performance =  46.04%
9.   ID = 2024-02-12, Fitness = 79.0000   (Iteration: 1000), Runtime = 405.4696, Preprocessed = 330/900 ( 36.67%), Preprocessed Fitness = 132.0000  , Performance =  40.15%
10.  ID = 2024-02-13, Fitness = 91.0000   (Iteration: 1000), Runtime = 421.2096, Preprocessed = 228/900 ( 25.33%), Preprocessed Fitness = 151.0000  , Performance =  39.74%
